Date,ETH_Price
2019-04-12,163.34
2019-04-13,171.45
2019-04-14,165.07
2019-04-15,165.27
2019-04-16,164.9
2019-04-17,164.8
2019-04-18,164.94
2019-04-19,167.35
2019-04-20,169.26
2019-04-21,168.72
2019-04-22,170.21
2019-04-23,166.88
2019-04-24,172.41
2019-04-25,165.7
2019-04-26,163.82
2019-04-27,154.7
2019-04-28,155.56
2019-04-29,157.53
2019-04-30,149.36
2019-05-01,157.06
2019-05-02,157.53
2019-05-03,157.82
2019-05-04,160.93
2019-05-05,164.44
2019-05-06,164.99
2019-05-07,164.27
2019-05-08,167.77
2019-05-09,165.76
2019-05-10,166.2
2019-05-11,168.78
2019-05-12,179.75
2019-05-13,189.41
2019-05-14,191.99
2019-05-15,211.91
2019-05-16,255.89
2019-05-17,295.62
2019-05-18,244.98
2019-05-19,248.14
2019-05-20,257.4
2019-05-21,263.75
2019-05-22,251.88
2019-05-23,255.9
2019-05-24,243.47
2019-05-25,255.87
2019-05-26,255.55
2019-05-27,258.24
2019-05-28,282.44
2019-05-29,277.47
2019-05-30,274.2
2019-05-31,277.24
2019-06-01,255.13
2019-06-02,265.63
2019-06-03,265.61
2019-06-04,268.12
2019-06-05,245.32
2019-06-06,247.88
2019-06-07,243.95
2019-06-08,250.29
2019-06-09,252.94
2019-06-10,238.01
2019-06-11,243.71
2019-06-12,248.0
2019-06-13,254.1
2019-06-14,254.77
2019-06-15,249.71
2019-06-16,268.68
2019-06-17,270.72
2019-06-18,266.78
2019-06-19,269.65
2019-06-20,271.93
2019-06-21,270.35
2019-06-22,293.24
2019-06-23,312.53
2019-06-24,316.04
2019-06-25,315.06
2019-06-26,313.72
2019-06-27,339.76
2019-06-28,304.52
2019-06-29,300.22
2019-06-30,306.23
2019-07-01,307.92
2019-07-02,293.98
2019-07-03,290.06
2019-07-04,296.82
2019-07-05,292.57
2019-07-06,286.26
2019-07-07,297.25
2019-07-08,294.63
2019-07-09,312.71
2019-07-10,312.37
2019-07-11,299.5
2019-07-12,272.47
2019-07-13,270.69
2019-07-14,267.75
2019-07-15,246.35
2019-07-16,226.06
2019-07-17,216.2
2019-07-18,204.06
2019-07-19,215.78
2019-07-20,221.66
2019-07-21,231.39
2019-07-22,229.35
2019-07-23,218.72
2019-07-24,219.01
2019-07-25,211.83
2019-07-26,226.65
2019-07-27,222.19
2019-07-28,213.65
2019-07-29,211.2
2019-07-30,205.41
2019-07-31,210.76
2019-08-01,213.72
2019-08-02,214.23
2019-08-03,222.41
2019-08-04,220.11
2019-08-05,215.44
2019-08-06,228.02
2019-08-07,230.81
2019-08-08,232.45
2019-08-09,223.61
2019-08-10,211.06
2019-08-11,209.69
2019-08-12,210.32
2019-08-13,208.95
2019-08-14,213.09
2019-08-15,196.32
2019-08-16,197.9
2019-08-17,183.61
2019-08-18,182.83
2019-08-19,190.23
2019-08-20,199.79
2019-08-21,196.21
2019-08-22,184.84
2019-08-23,200.74
2019-08-24,189.3
2019-08-25,190.13
2019-08-26,187.53
2019-08-27,185.96
2019-08-28,188.91
2019-08-29,187.95
2019-08-30,176.05
2019-08-31,171.44
2019-09-01,164.27
2019-09-02,171.49
2019-09-03,172.82
