Date,LTC_Price
2019-04-12,88.45
2019-04-13,86.54
2019-04-14,82.21
2019-04-15,84.25
2019-04-16,87.79
2019-04-17,87.79
2019-04-18,83.62
2019-04-19,85.8
2019-04-20,83.16
2019-04-21,82.45
2019-04-22,75.69
2019-04-23,78.97
2019-04-24,79.13
2019-04-25,75.6
2019-04-26,77.41
2019-04-27,73.09
2019-04-28,74.02
2019-04-29,69.66
2019-04-30,72.36
2019-05-01,70.48
2019-05-02,72.2
2019-05-03,73.74
2019-05-04,74.94
2019-05-05,74.21
2019-05-06,75.16
2019-05-07,72.86
2019-05-08,73.79
2019-05-09,74.61
2019-05-10,73.57
2019-05-11,74.17
2019-05-12,84.06
2019-05-13,86.99
2019-05-14,88.49
2019-05-15,90.35
2019-05-16,96.02
2019-05-17,97.26
2019-05-18,88.39
2019-05-19,89.19
2019-05-20,95.64
2019-05-21,91.91
2019-05-22,90.83
2019-05-23,89.19
2019-05-24,89.74
2019-05-25,94.44
2019-05-26,99.55
2019-05-27,107.89
2019-05-28,114.04
2019-05-29,114.61
2019-05-30,112.17
2019-05-31,116.28
2019-06-01,103.88
2019-06-02,114.81
2019-06-03,114.44
2019-06-04,115.68
2019-06-05,102.22
2019-06-06,102.86
2019-06-07,108.22
2019-06-08,115.6
2019-06-09,116.99
2019-06-10,114.28
2019-06-11,124.67
2019-06-12,133.52
2019-06-13,140.53
2019-06-14,136.1
2019-06-15,131.27
2019-06-16,140.05
2019-06-17,136.09
2019-06-18,139.85
2019-06-19,131.52
2019-06-20,137.15
2019-06-21,136.37
2019-06-22,140.55
2019-06-23,143.2
2019-06-24,141.92
2019-06-25,138.83
2019-06-26,134.89
2019-06-27,136.92
2019-06-28,121.33
2019-06-29,117.56
2019-06-30,126.29
2019-07-01,129.19
2019-07-02,121.82
2019-07-03,115.98
2019-07-04,120.09
2019-07-05,124.34
2019-07-06,121.23
2019-07-07,120.2
2019-07-08,119.34
2019-07-09,119.8
2019-07-10,122.09
2019-07-11,113.21
2019-07-12,104.37
2019-07-13,104.75
2019-07-14,102.29
2019-07-15,95.47
2019-07-16,91.44
2019-07-17,87.44
2019-07-18,84.63
2019-07-19,94.31
2019-07-20,97.5
2019-07-21,101.99
2019-07-22,98.72
2019-07-23,99.72
2019-07-24,91.33
2019-07-25,91.44
2019-07-26,93.64
2019-07-27,92.74
2019-07-28,89.67
2019-07-29,89.85
2019-07-30,91.5
2019-07-31,90.5
2019-08-01,93.68
2019-08-02,96.55
2019-08-03,94.51
2019-08-04,92.53
2019-08-05,93.19
2019-08-06,99.73
2019-08-07,96.18
2019-08-08,93.24
2019-08-09,88.28
2019-08-10,87.84
2019-08-11,87.39
2019-08-12,88.48
2019-08-13,87.58
2019-08-14,84.95
2019-08-15,82.09
2019-08-16,75.04
2019-08-17,75.35
2019-08-18,73.09
2019-08-19,73.45
2019-08-20,76.29
2019-08-21,75.46
2019-08-22,73.38
2019-08-23,73.38
2019-08-24,76.83
2019-08-25,75.94
2019-08-26,74.78
2019-08-27,74.45
2019-08-28,72.68
2019-08-29,71.6
2019-08-30,63.79
2019-08-31,67.14
