Date,BTC_Price
2018-12-22,3887.18
2018-12-23,3792.49
2018-12-24,3949.21
2018-12-25,4143.24
2018-12-26,3775.66
2018-12-27,3757.48
2018-12-28,3722.37
2018-12-29,3754.69
2018-12-30,3915.99
2018-12-31,3805.74
2019-01-01,3756.54
2019-01-02,3774.24
2019-01-03,3901.04
2019-01-04,3917.12
2019-01-05,3784.83
2019-01-06,3853.62
2019-01-07,3907.16
2019-01-08,4020.85
2019-01-09,4072.21
2019-01-10,4066.43
2019-01-11,3759.53
2019-01-12,3682.86
2019-01-13,3674.13
2019-01-14,3631.6
2019-01-15,3595.67
2019-01-16,3680.76
2019-01-17,3656.79
2019-01-18,3752.1
2019-01-19,3639.84
2019-01-20,3687.78
2019-01-21,3784.83
2019-01-22,3508.94
2019-01-23,3591.57
2019-01-24,3605.39
2019-01-25,3572.78
2019-01-26,3564.33
2019-01-27,3609.02
2019-01-28,3565.7
2019-01-29,3505.24
2019-01-30,3367.33
2019-01-31,3416.54
2019-02-01,3374.59
2019-02-02,3417.12
2019-02-03,3427.56
2019-02-04,3457.38
2019-02-05,3402.32
2019-02-06,3363.84
2019-02-07,3415.73
2019-02-08,3340.89
2019-02-09,3509.99
2019-02-10,3604.27
2019-02-11,3667.6
2019-02-12,3618.57
2019-02-13,3628.02
2019-02-14,3608.63
2019-02-15,3494.07
2019-02-16,3486.76
2019-02-17,3553.79
2019-02-18,3576.11
2019-02-19,3769.41
2019-02-20,3839.42
2019-02-21,3901.68
2019-02-22,3886.11
2019-02-23,3897.23
2019-02-24,3954.19
2019-02-25,3985.46
2019-02-26,3789.16
2019-02-27,3826.48
2019-02-28,3796.09
2019-03-01,3780.29
2019-03-02,3822.46
2019-03-03,3789.65
2019-03-04,3810.81
2019-03-05,3773.5
2019-03-06,3795.87
2019-03-07,3903.12
2019-03-08,3893.15
2019-03-09,3835.7
2019-03-10,3977.75
2019-03-11,3901.57
2019-03-12,3901.21
2019-03-13,3886.67
2019-03-14,3897.63
2019-03-15,3863.25
2019-03-16,3888.23
2019-03-17,3997.82
2019-03-18,3934.16
2019-03-19,3932.14
2019-03-20,3999.01
2019-03-21,3945.72
2019-03-22,4012.6
2019-03-23,4000.88
2019-03-24,3986.56
2019-03-25,3970.64
2019-03-26,3945.18
2019-03-27,3903.56
2019-03-28,3975.61
2019-03-29,4026.28
2019-03-30,4051.32
2019-03-31,4119.21
2019-04-01,4069.83
2019-04-02,4072.72
2019-04-03,4641.61
2019-04-04,5025.85
2019-04-05,4937.05
2019-04-06,4978.55
2019-04-07,5036.25
2019-04-08,5101.33
2019-04-09,5262.63
2019-04-10,5261.43
2019-04-11,5312.33
2019-04-12,5095.11
2019-04-13,5060.18
2019-04-14,5053.56
2019-04-15,5037.42
2019-04-16,5118.54
2019-04-17,5123.53
2019-04-18,5223.42
2019-04-19,5256.03
2019-04-20,5257.81
2019-04-21,5274.46
2019-04-22,5306.21
2019-04-23,5329.36
2019-04-24,5530.15
2019-04-25,5463.98
2019-04-26,5421.24
2019-04-27,5141.81
2019-04-28,5174.49
2019-04-29,5166.08
2019-04-30,5152.52
2019-05-01,5207.42
2019-05-02,5283.44
2019-05-03,5383.76
2019-05-04,5618.95
2019-05-05,5697.31
2019-05-06,5773.35
2019-05-07,5664.59
2019-05-08,5864.92
2019-05-09,5838.3
2019-05-10,6034.3
2019-05-11,6280.74
2019-05-12,6772.48
2019-05-13,7105.59
2019-05-14,7412.63
2019-05-15,8005.58
2019-05-16,7933.16
2019-05-17,8015.9
2019-05-18,7158.47
2019-05-19,7244.57
2019-05-20,7961.32
2019-05-21,7983.43
2019-05-22,7942.79
2019-05-23,7950.08
2019-05-24,7709.77
2019-05-25,7955.92
