Date,XRP_Price
2019-04-12,0.31
2019-04-13,0.33
2019-04-14,0.33
2019-04-15,0.33
2019-04-16,0.33
2019-04-17,0.33
2019-04-18,0.33
2019-04-19,0.34
2019-04-20,0.34
2019-04-21,0.33
2019-04-22,0.33
2019-04-23,0.33
2019-04-24,0.33
2019-04-25,0.32
2019-04-26,0.31
2019-04-27,0.29
2019-04-28,0.29
2019-04-29,0.29
2019-04-30,0.29
2019-05-01,0.3
2019-05-02,0.3
2019-05-03,0.3
2019-05-04,0.3
2019-05-05,0.3
2019-05-06,0.3004
2019-05-07,0.2977
2019-05-08,0.3098
2019-05-09,0.2989
2019-05-10,0.2953
2019-05-11,0.2953
2019-05-12,0.3139
2019-05-13,0.3149
2019-05-14,0.3277
2019-05-15,0.3906
2019-05-16,0.4639
2019-05-17,0.4308
2019-05-18,0.3689
2019-05-19,0.3777
2019-05-20,0.4123
2019-05-21,0.4049
2019-05-22,0.3847
2019-05-23,0.3896
2019-05-24,0.3719
2019-05-25,0.3804
2019-05-26,0.3919
2019-05-27,0.4019
2019-05-28,0.4273
2019-05-29,0.4473
2019-05-30,0.4336
2019-05-31,0.4427
2019-06-01,0.4138
2019-06-02,0.4238
2019-06-03,0.4559
2019-06-04,0.4603
2019-06-05,0.3983
2019-06-06,0.3936
2019-06-07,0.4152
2019-06-08,0.4104
2019-06-09,0.4165
2019-06-10,0.3926
2019-06-11,0.4043
2019-06-12,0.388
2019-06-13,0.3838
2019-06-14,0.3995
2019-06-15,0.3832
2019-06-16,0.4126
2019-06-17,0.4126
2019-06-18,0.46
2019-06-19,0.4295
2019-06-20,0.4352
2019-06-21,0.4291
2019-06-22,0.4461
2019-06-23,0.4715
2019-06-24,0.4759
2019-06-25,0.4659
2019-06-26,0.4677
2019-06-27,0.4696
2019-06-28,0.4079
2019-06-29,0.399
2019-06-30,0.4086
2019-07-01,0.4074
2019-07-02,0.4019
2019-07-03,0.3872
2019-07-04,0.4056
2019-07-05,0.4036
2019-07-06,0.3775
2019-07-07,0.3911
2019-07-08,0.3905
2019-07-09,0.4022
2019-07-10,0.3904
2019-07-11,0.3842
2019-07-12,0.3397
2019-07-13,0.3397
2019-07-14,0.3339
2019-07-15,0.3259
2019-07-16,0.3179
2019-07-17,0.3076
2019-07-18,0.3024
2019-07-19,0.3116
2019-07-20,0.3187
2019-07-21,0.3346
2019-07-22,0.3362
2019-07-23,0.3375
2019-07-24,0.3224
2019-07-25,0.3159
2019-07-26,0.3194
2019-07-27,0.3192
2019-07-28,0.3258
2019-07-29,0.3194
2019-07-30,0.3274
2019-07-31,0.3185
2019-08-01,0.3268
2019-08-02,0.3241
2019-08-03,0.3209
2019-08-04,0.3233
2019-08-05,0.322
2019-08-06,0.3334
2019-08-07,0.3222
2019-08-08,0.3238
2019-08-09,0.317
2019-08-10,0.3073
2019-08-11,0.3029
2019-08-12,0.3088
2019-08-13,0.3099
2019-08-14,0.3035
2019-08-15,0.2928
2019-08-16,0.2775
2019-08-17,0.2688
2019-08-18,0.2665
2019-08-19,0.28
2019-08-20,0.2932
2019-08-21,0.2932
2019-08-22,0.2706
2019-08-23,0.2726
2019-08-24,0.2736
2019-08-25,0.2787
2019-08-26,0.2787
2019-08-27,0.2821
2019-08-28,0.2709
2019-08-29,0.2646
2019-08-30,0.2527
2019-08-31,0.2571
2019-09-01,0.2585
2019-09-02,0.2649
2019-09-03,0.2602
2019-09-04,0.2606
2019-09-05,0.2617
2019-09-06,0.2595
2019-09-07,0.2571
2019-09-08,0.2565
2019-09-09,0.2662
2019-09-10,0.2649
2019-09-11,0.2629
2019-09-12,0.2601
2019-09-13,0.2537
2019-09-14,0.2529
